imei,latitude,longitude,coordinates,datastatus,datastatus_description,hearttime_date,hearttime_time,hearttime_unix,status
355139085087770,10.620982,103.537527,"10.620982,103.537527",4,Offline,2025-05-03,15:12:30,1746259950,success
355139085087861,10.629293,103.520264,"10.629293,103.520264",4,Offline,2025-02-08,17:28:15,1739010495,success
355139085088554,11.545785,104.899222,"11.545785,104.899222",4,Offline,2025-05-22,17:25:48,1747909548,success
355139085087721,11.594253,104.859533,"11.594253,104.859533",4,Offline,2025-02-27,15:57:42,1740646662,success
355139085088224,10.604907,103.548244,"10.604907,103.548244",4,Offline,2025-09-10,19:46:23,1757508383,success
355139085087895,10.625981,103.52402,"10.625981,103.52402",4,Offline,2025-06-03,10:02:18,1748919738,success
355139085085642,11.538219,104.923473,"11.538219,104.923473",2,Online,2025-10-04,14:39:15,1759563555,success
355139085089701,10.60992,103.528988,"10.60992,103.528988",4,Offline,2025-02-01,01:57:19,1738349839,success
355139085080197,0,0,"0,0",1,Never online,2013-12-31,23:00:00,1388505600,success
355139085090048,10.623084,103.532844,"10.623084,103.532844",4,Offline,2024-10-17,14:02:22,1729148542,success
355139085090634,10.556856,103.560589,"10.556856,103.560589",2,Online,2025-10-04,14:32:02,1759563122,success
355139085089271,10.612622,103.536785,"10.612622,103.536785",4,Offline,2025-10-04,12:26:25,1759555585,success
355139085087820,10.631684,103.550254,"10.631684,103.550254",4,Offline,2025-10-04,14:29:01,1759562941,success
355139085090410,10.620389,103.525107,"10.620389,103.525107",2,Online,2025-10-04,14:38:54,1759563534,success
355139085090436,0,0,"0,0",1,Never online,2013-12-31,23:00:00,1388505600,success
355139085090212,10.621217,103.527924,"10.621217,103.527924",4,Offline,2025-10-04,13:55:33,1759560933,success
355139085089792,10.643085,103.551895,"10.643085,103.551895",4,Offline,2025-10-04,14:02:55,1759561375,success
355139085089743,10.623088,103.535419,"10.623088,103.535419",2,Online,2025-10-04,14:36:10,1759563370,success
355139085086616,13.67624,102.561808,"13.67624,102.561808",4,Offline,2025-10-04,12:31:22,1759555882,success
355139085104617,10.524019,104.293512,"10.524019,104.293512",4,Offline,2025-02-28,21:06:12,1740751572,success
355139085089776,10.611488,103.524961,"10.611488,103.524961",2,Online,2025-10-04,14:36:38,1759563398,success
355139085085030,11.07489,106.15136,"11.07489,106.15136",2,Online,2025-10-04,14:37:40,1759563460,success
355139085090220,10.631507,103.514507,"10.631507,103.514507",2,Online,2025-10-04,14:38:26,1759563506,success
355139085094206,11.545725,104.899222,"11.545725,104.899222",4,Offline,2025-03-18,12:33:00,1742275980,success
355139085085006,11.545758,104.899078,"11.545758,104.899078",4,Offline,2025-07-18,12:00:37,1752814837,success
355139085089024,10.573433,103.557841,"10.573433,103.557841",4,Offline,2025-10-04,08:22:48,1759540968,success
355139085087788,10.620958,103.507399,"10.620958,103.507399",2,Online,2025-10-04,14:36:35,1759563395,success
355139085088000,10.747148,104.581892,"10.747148,104.581892",2,Online,2025-10-04,14:38:41,1759563521,success
355139085086020,10.623098,103.530775,"10.623098,103.530775",2,Online,2025-10-04,14:38:18,1759563498,success
355139085096706,0,0,"0,0",1,Never online,2013-12-31,23:00:00,1388505600,success
355139085086970,10.611524,103.502732,"10.611524,103.502732",2,Online,2025-10-04,14:37:56,1759563476,success
355139085094826,11.675183,105.972997,"11.675183,105.972997",2,Online,2025-10-04,14:38:53,1759563533,success
355139085096573,11.063568,106.134965,"11.063568,106.134965",2,Online,2025-10-04,14:37:34,1759563454,success
355139085087622,10.651108,103.536604,"10.651108,103.536604",2,Online,2025-10-04,14:33:03,1759563183,success
355139085085857,11.582711,104.828842,"11.582711,104.828842",2,Online,2025-10-04,14:38:23,1759563503,success
355139085101050,11.74938,105.526551,"11.74938,105.526551",4,Offline,2025-06-21,00:14:33,1750439673,success
355139085079082,11.698319,105.967295,"11.698319,105.967295",2,Online,2025-10-04,14:32:52,1759563172,success
355139085101605,10.631362,103.503733,"10.631362,103.503733",2,Online,2025-10-04,14:37:25,1759563445,success
355139085086103,10.648454,103.516654,"10.648454,103.516654",2,Online,2025-10-04,14:37:02,1759563422,success
355139085085170,10.623475,103.528987,"10.623475,103.528987",4,Offline,2025-10-04,14:19:28,1759562368,success
355139085086244,11.620022,104.891739,"11.620022,104.891739",2,Online,2025-10-04,14:39:08,1759563548,success
355139085087531,11.639913,105.81386,"11.639913,105.81386",4,Offline,2025-10-04,13:54:14,1759560854,success
355139085101779,11.158452,104.653797,"11.158452,104.653797",2,Online,2025-10-04,14:39:18,1759563558,success
